Product,Style,Unit_Price
P100,A,51.83
P100,B,53.38
P100,C,54.98
P100,D,56.63
P100,E,58.33
P100,F,60.08
P100,G,61.88
P100,H,63.74
P101,A,900.24
P101,B,927.25
P101,C,955.07
P101,D,983.72
P101,E,1013.23
P101,F,1043.63
P101,G,1074.94
P101,H,1107.19
P102,A,655.07
P102,B,674.72
P102,C,694.96
P102,D,715.81
P102,E,737.28
P102,F,759.4
P102,G,782.18
P102,H,805.65
P103,A,385.18
P103,B,396.74
P103,C,408.64
P103,D,420.9
P103,E,433.53
P103,F,446.54
P103,G,459.94
P103,H,473.74
P104,A,551.81
P104,B,568.36
P104,C,585.41
P104,D,602.97
P104,E,621.06
P104,F,639.69
P104,G,658.88
P104,H,678.65
P105,A,66.24
P105,B,68.23
P105,C,70.28
P105,D,72.39
P105,E,74.56
P105,F,76.8
P105,G,79.1
P105,H,81.47
P106,A,161.19
P106,B,166.03
P106,C,171.01
P106,D,176.14
P106,E,181.42
P106,F,186.86
P106,G,192.47
P106,H,198.24
P107,A,935.6
P107,B,963.67
P107,C,992.58
P107,D,1022.36
P107,E,1053.03
P107,F,1084.62
P107,G,1117.16
P107,H,1150.67
P108,A,394.11
P108,B,405.93
P108,C,418.11
P108,D,430.65
P108,E,443.57
P108,F,456.88
P108,G,470.59
P108,H,484.71
P109,A,487.07
P109,B,501.68
P109,C,516.73
P109,D,532.23
P109,E,548.2
P109,F,564.65
P109,G,581.59
P109,H,599.04
P110,A,833.54
P110,B,858.55
P110,C,884.31
P110,D,910.84
P110,E,938.17
P110,F,966.32
P110,G,995.31
P110,H,1025.17
P111,A,508.4
P111,B,523.65
P111,C,539.36
P111,D,555.54
P111,E,572.21
P111,F,589.38
P111,G,607.06
P111,H,625.27
P112,A,944.93
P112,B,973.28
P112,C,1002.48
P112,D,1032.55
P112,E,1063.53
P112,F,1095.44
P112,G,1128.3
P112,H,1162.15
P113,A,320.49
P113,B,330.1
P113,C,340
P113,D,350.2
P113,E,360.71
P113,F,371.53
P113,G,382.68
P113,H,394.16
P114,A,188.93
P114,B,194.6
P114,C,200.44
P114,D,206.45
P114,E,212.64
P114,F,219.02
P114,G,225.59
P114,H,232.36
P115,A,489.75
P115,B,504.44
P115,C,519.57
P115,D,535.16
P115,E,551.21
P115,F,567.75
P115,G,584.78
P115,H,602.32
P116,A,883.88
P116,B,910.4
P116,C,937.71
P116,D,965.84
P116,E,994.82
P116,F,1024.66
P116,G,1055.4
P116,H,1087.06
P117,A,496.73
P117,B,511.63
P117,C,526.98
P117,D,542.79
P117,E,559.07
P117,F,575.84
P117,G,593.12
P117,H,610.91
P118,A,579.08
P118,B,596.45
P118,C,614.34
P118,D,632.77
P118,E,651.75
P118,F,671.3
P118,G,691.44
P118,H,712.18
P119,A,838.05
P119,B,863.19
P119,C,889.09
P119,D,915.76
P119,E,943.23
P119,F,971.53
P119,G,1000.68
P119,H,1030.7
P120,A,539.03
P120,B,555.2
P120,C,571.86
P120,D,589.02
P120,E,606.69
P120,F,624.89
P120,G,643.64
P120,H,662.95
P121,A,916.19
P121,B,943.68
P121,C,971.99
P121,D,1001.15
P121,E,1031.18
P121,F,1062.12
P121,G,1093.98
P121,H,1126.8
P122,A,95.46
P122,B,98.32
P122,C,101.27
P122,D,104.31
P122,E,107.44
P122,F,110.66
P122,G,113.98
P122,H,117.4
P123,A,95.11
P123,B,97.96
P123,C,100.9
P123,D,103.93
P123,E,107.05
P123,F,110.26
P123,G,113.57
P123,H,116.98
P124,A,533.27
P124,B,549.27
P124,C,565.75
P124,D,582.72
P124,E,600.2
P124,F,618.21
P124,G,636.76
P124,H,655.86
P125,A,929.5
P125,B,957.39
P125,C,986.11
P125,D,1015.69
P125,E,1046.16
P125,F,1077.54
P125,G,1109.87
P125,H,1143.17
P126,A,881.44
P126,B,907.88
P126,C,935.12
P126,D,963.17
P126,E,992.07
P126,F,1021.83
P126,G,1052.48
P126,H,1084.05
P127,A,925.66
P127,B,953.43
P127,C,982.03
P127,D,1011.49
P127,E,1041.83
P127,F,1073.08
P127,G,1105.27
P127,H,1138.43
P128,A,519.52
P128,B,535.11
P128,C,551.16
P128,D,567.69
P128,E,584.72
P128,F,602.26
P128,G,620.33
P128,H,638.94
P129,A,999.5
P129,B,1029.49
P129,C,1060.37
P129,D,1092.18
P129,E,1124.95
P129,F,1158.7
P129,G,1193.46
P129,H,1229.26
P130,A,388.11
P130,B,399.75
P130,C,411.74
P130,D,424.09
P130,E,436.81
P130,F,449.91
P130,G,463.41
P130,H,477.31
P131,A,256.66
P131,B,264.36
P131,C,272.29
P131,D,280.46
P131,E,288.87
P131,F,297.54
P131,G,306.47
P131,H,315.66
P132,A,627.75
P132,B,646.58
P132,C,665.98
P132,D,685.96
P132,E,706.54
P132,F,727.74
P132,G,749.57
P132,H,772.06
P133,A,436.33
P133,B,449.42
P133,C,462.9
P133,D,476.79
P133,E,491.09
P133,F,505.82
P133,G,520.99
P133,H,536.62
P134,A,660.22
P134,B,680.03
P134,C,700.43
P134,D,721.44
P134,E,743.08
P134,F,765.37
P134,G,788.33
P134,H,811.98
P135,A,197.48
P135,B,203.4
P135,C,209.5
P135,D,215.79
P135,E,222.26
