Batch,Command,Start Time,Second,Command Setting,S Partition,E Partition,S Column,E Column,S Row,E Row,Error Message
0,Get_CSV_Partition_Address,20:55:43,0.314,"100-millionrows.csv",0,600,0,10,0,0,""
0,Read_CSV,20:55:44,0.099,"100-millionrows.csv",20,20,10,10,0,0,""
0,Filter,20:55:44,0.158,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338351,419345,""
0,Groupby,20:55:44,0.071,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,419345,9331,""
20,Read_CSV,20:55:44,0.052,"100-millionrows.csv",20,20,10,10,0,0,""
20,Filter,20:55:44,0.137,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338325,383163,""
20,Groupby,20:55:44,0.054,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,383163,9331,""
40,Read_CSV,20:55:44,0.052,"100-millionrows.csv",20,20,10,10,0,0,""
40,Filter,20:55:44,0.139,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338321,343932,""
40,Groupby,20:55:44,0.052,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
60,Read_CSV,20:55:44,0.072,"100-millionrows.csv",20,20,10,10,0,0,""
60,Filter,20:55:44,0.146,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338356,424343,""
60,Groupby,20:55:45,0.064,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,424343,9331,""
80,Read_CSV,20:55:45,0.05,"100-millionrows.csv",20,20,10,10,0,0,""
80,Filter,20:55:45,0.161,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338318,378165,""
80,Groupby,20:55:45,0.061,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,378165,9331,""
100,Read_CSV,20:55:45,0.043,"100-millionrows.csv",20,20,10,10,0,0,""
100,Filter,20:55:45,0.142,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338331,343932,""
100,Groupby,20:55:45,0.051,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
120,Read_CSV,20:55:45,0.066,"100-millionrows.csv",20,20,10,10,0,0,""
120,Filter,20:55:45,0.149,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338342,429248,""
120,Groupby,20:55:45,0.061,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,429248,9331,""
140,Read_CSV,20:55:45,0.064,"100-millionrows.csv",20,20,10,10,0,0,""
140,Filter,20:55:46,0.141,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338322,373260,""
140,Groupby,20:55:46,0.064,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,373260,9331,""
160,Read_CSV,20:55:46,0.045,"100-millionrows.csv",20,20,10,10,0,0,""
160,Filter,20:55:46,0.139,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338336,343932,""
160,Groupby,20:55:46,0.054,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
180,Read_CSV,20:55:46,0.052,"100-millionrows.csv",20,20,10,10,0,0,""
180,Filter,20:55:46,0.144,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338332,434329,""
180,Groupby,20:55:46,0.061,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,434329,9331,""
200,Read_CSV,20:55:46,0.051,"100-millionrows.csv",20,20,10,10,0,0,""
200,Filter,20:55:46,0.143,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338332,368179,""
200,Groupby,20:55:46,0.061,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,368179,9331,""
220,Read_CSV,20:55:47,0.049,"100-millionrows.csv",20,20,10,10,0,0,""
220,Filter,20:55:47,0.131,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338338,343932,""
220,Groupby,20:55:47,0.05,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
240,Read_CSV,20:55:47,0.054,"100-millionrows.csv",20,20,10,10,0,0,""
240,Filter,20:55:47,0.141,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338320,439303,""
240,Groupby,20:55:47,0.061,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,439303,9331,""
260,Read_CSV,20:55:47,0.05,"100-millionrows.csv",20,20,10,10,0,0,""
260,Filter,20:55:47,0.138,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338336,363205,""
260,Groupby,20:55:47,0.071,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,363205,9331,""
280,Read_CSV,20:55:47,0.044,"100-millionrows.csv",20,20,10,10,0,0,""
280,Filter,20:55:47,0.133,"Shop(S20..S50)Product(500..800)",20,20,10,10,3338340,343932,""
280,Groupby,20:55:47,0.06,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",20,1,10,5,343932,9331,""
300,Read_CSV,20:55:47,0.06,"100-millionrows.csv",20,20,10,10,0,0,""
