Date,Ledger,Account,PartNo,Project,Contact,Unit Code,Quantity,Unit Price,D/C,Currency,Exchange Rate,Original Amount,Base Amount
43142,L37,11198,A18,B20,C40,PCS,446,3.33,D,C08,1.496196,1485.18,2222.12
43132,L37,11214,A16,B28,C35,PCS,155,8.11,D,C05,3.40242,1257.05,4277.01
43132,L37,11214,A16,B28,C35,PCS,550,8.11,D,C05,3.40242,4460.5,15176.49
43132,L37,11214,A16,B28,C35,PCS,18,8.11,D,C05,3.40242,145.98,496.69
43132,L37,11214,A16,B28,C35,PCS,220,8.11,D,C05,3.40242,1784.2,6070.6
43132,L37,11214,A16,B28,C35,PCS,684,8.11,D,C05,3.40242,5547.24,18874.04
43132,L37,11214,A16,B28,C35,PCS,319,8.11,D,C05,3.40242,2587.09,8802.37
43132,L37,11214,A16,B28,C35,PCS,961,8.11,D,C05,3.40242,7793.71,26517.47
43132,L37,11214,A16,B28,C35,PCS,316,8.11,D,C05,3.40242,2562.76,8719.59
43132,L37,11214,A16,B28,C35,PCS,854,8.11,D,C05,3.40242,6925.94,23564.96
43132,L37,11214,A16,B28,C35,PCS,477,8.11,D,C05,3.40242,3868.47,13162.16
43159,L37,11240,A10,B23,C31,PCS,237,3.3,D,C09,1.199464,782.1,938.1
43159,L37,11240,A10,B23,C31,PCS,467,3.3,D,C09,1.199464,1541.1,1848.49
43159,L37,11240,A10,B23,C31,PCS,223,3.3,D,C09,1.199464,735.9,882.69
43159,L37,11240,A10,B23,C31,PCS,17,3.3,D,C09,1.199464,56.1,67.29
43159,L37,11240,A10,B23,C31,PCS,999,3.3,D,C09,1.199464,3296.7,3954.27
43159,L37,11240,A10,B23,C31,PCS,887,3.3,D,C09,1.199464,2927.1,3510.95
43159,L37,11240,A10,B23,C31,PCS,868,3.3,D,C09,1.199464,2864.4,3435.74
43159,L37,11240,A10,B23,C31,PCS,973,3.3,D,C09,1.199464,3210.9,3851.36
43159,L37,11240,A10,B23,C31,PCS,841,3.3,D,C09,1.199464,2775.3,3328.87
43159,L37,11240,A10,B23,C31,PCS,998,3.3,D,C09,1.199464,3293.4,3950.31
43146,L37,11345,A16,B30,C37,PCS,44,8,D,C07,1.358577,352,478.22
43146,L37,11345,A16,B30,C37,PCS,655,8,D,C07,1.358577,5240,7118.94
43146,L37,11345,A16,B30,C37,PCS,335,8,D,C07,1.358577,2680,3640.99
43146,L37,11345,A16,B30,C37,PCS,291,8,D,C07,1.358577,2328,3162.77
43146,L37,11345,A16,B30,C37,PCS,356,8,D,C07,1.358577,2848,3869.23
43146,L37,11345,A16,B30,C37,PCS,232,8,D,C07,1.358577,1856,2521.52
43146,L37,11345,A16,B30,C37,PCS,147,8,D,C07,1.358577,1176,1597.69
43146,L37,11345,A16,B30,C37,PCS,794,8,D,C07,1.358577,6352,8629.68
43146,L37,11345,A16,B30,C37,PCS,315,8,D,C07,1.358577,2520,3423.61
43146,L37,11345,A16,B30,C37,PCS,941,8,D,C07,1.358577,7528,10227.37
43154,L37,11601,A20,B24,C39,PCS,437,5.09,D,C07,1.358577,2224.33,3021.92
43154,L37,11601,A20,B24,C39,PCS,584,5.09,D,C07,1.358577,2972.56,4038.45
43154,L37,11601,A20,B24,C39,PCS,607,5.09,D,C07,1.358577,3089.63,4197.5
43154,L37,11601,A20,B24,C39,PCS,347,5.09,D,C07,1.358577,1766.23,2399.56
43154,L37,11601,A20,B24,C39,PCS,577,5.09,D,C07,1.358577,2936.93,3990.05
43154,L37,11601,A20,B24,C39,PCS,926,5.09,D,C07,1.358577,4713.34,6403.44
43154,L37,11601,A20,B24,C39,PCS,271,5.09,D,C07,1.358577,1379.39,1874.01
43154,L37,11601,A20,B24,C39,PCS,946,5.09,D,C07,1.358577,4815.14,6541.74
