Date,Ledger,Account,PartNo,Project,Contact,Unit Code,Quantity,Unit Price,D/C,Currency,Exchange Rate,Original Amount,Base Amount,Company,Cost Centre
43281,L10,10006,A16,B21,C30,PCS,112,5.81,D,C07,1.358577,650.72,884.05,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,890,5.81,D,C07,1.358577,5170.9,7025.07,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,553,5.81,D,C07,1.358577,3212.93,4365.01,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,553,5.81,D,C07,1.358577,3212.93,4365.01,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,236,5.81,D,C07,1.358577,1371.16,1862.83,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,444,5.81,D,C07,1.358577,2579.64,3504.64,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,118,5.81,D,C07,1.358577,685.58,931.41,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,591,5.81,D,C07,1.358577,3433.71,4664.96,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,285,5.81,D,C07,1.358577,1655.85,2249.6,L10-B21 Company,B21-10006
43281,L10,10006,A16,B21,C30,PCS,751,5.81,D,C07,1.358577,4363.31,5927.89,L10-B21 Company,B21-10006
43021,L10,10036,A10,B26,C36,PCS,284,4.54,C,C01,6.825646,1289.36,8800.71,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,865,4.54,C,C01,6.825646,3927.1,26804.99,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,889,4.54,C,C01,6.825646,4036.06,27548.72,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,662,4.54,C,C01,6.825646,3005.48,20514.34,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,188,4.54,C,C01,6.825646,853.52,5825.83,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,720,4.54,C,C01,6.825646,3268.8,22311.67,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,876,4.54,C,C01,6.825646,3977.04,27145.87,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,135,4.54,C,C01,6.825646,612.9,4183.44,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,310,4.54,C,C01,6.825646,1407.4,9606.41,L10-B26 Company,B26-10036
43021,L10,10036,A10,B26,C36,PCS,157,4.54,C,C01,6.825646,712.78,4865.18,L10-B26 Company,B26-10036
43226,L10,10051,A16,B30,C38,PCS,856,4.04,D,C10,8.657656,3458.24,29940.25,L10-B30 Company,B30-10051
43226,L10,10051,A16,B30,C38,PCS,377,4.04,D,C10,8.657656,1523.08,13186.3,L10-B30 Company,B30-10051
43226,L10,10051,A16,B30,C38,PCS,174,4.04,D,C10,8.657656,702.96,6085.99,L10-B30 Company,B30-10051
43226,L10,10051,A16,B30,C38,PCS,745,4.04,D,C10,8.657656,3009.8,26057.81,L10-B30 Company,B30-10051
43226,L10,10051,A16,B30,C38,PCS,999,4.04,D,C10,8.657656,4035.96,34941.95,L10-B30 Company,B30-10051
