Date,Ledger,Account,PartNo,Project,Contact,Unit Code,Quantity,Unit Price,D/C,Currency,Exchange Rate,Original Amount,Base Amount
43102,L10,10065,A16,B29,C36,PCS,114,7.01,C,C06,3.547054,799.14,2834.59
43102,L10,10065,A16,B29,C36,PCS,934,7.01,C,C06,3.547054,6547.34,23223.77
43102,L10,10065,A16,B29,C36,PCS,386,7.01,C,C06,3.547054,2705.86,9597.83
43102,L10,10065,A16,B29,C36,PCS,172,7.01,C,C06,3.547054,1205.72,4276.75
43102,L10,10065,A16,B29,C36,PCS,779,7.01,C,C06,3.547054,5460.79,19369.72
43102,L10,10065,A16,B29,C36,PCS,711,7.01,C,C06,3.547054,4984.11,17678.91
43102,L10,10065,A16,B29,C36,PCS,854,7.01,C,C06,3.547054,5986.54,21234.58
43102,L10,10065,A16,B29,C36,PCS,103,7.01,C,C06,3.547054,722.03,2561.08
43102,L10,10065,A16,B29,C36,PCS,25,7.01,C,C06,3.547054,175.25,621.62
43102,L10,10065,A16,B29,C36,PCS,403,7.01,C,C06,3.547054,2825.03,10020.53
43130,L10,10257,A14,B24,C39,PCS,986,8.59,C,C01,6.825646,8469.74,57811.45
43130,L10,10257,A14,B24,C39,PCS,841,8.59,C,C01,6.825646,7224.19,49309.76
43130,L10,10257,A14,B24,C39,PCS,354,8.59,C,C01,6.825646,3040.86,20755.83
43130,L10,10257,A14,B24,C39,PCS,714,8.59,C,C01,6.825646,6133.26,41863.46
43130,L10,10257,A14,B24,C39,PCS,443,8.59,C,C01,6.825646,3805.37,25974.11
43130,L10,10257,A14,B24,C39,PCS,157,8.59,C,C01,6.825646,1348.63,9205.27
43130,L10,10257,A14,B24,C39,PCS,762,8.59,C,C01,6.825646,6545.58,44677.81
43130,L10,10257,A14,B24,C39,PCS,285,8.59,C,C01,6.825646,2448.15,16710.21
43130,L10,10257,A14,B24,C39,PCS,560,8.59,C,C01,6.825646,4810.4,32834.09
43130,L10,10257,A14,B24,C39,PCS,288,8.59,C,C01,6.825646,2473.92,16886.1
43109,L10,10294,A12,B30,C38,PCS,558,8.3,C,C02,9.912483,4631.4,45908.67
43109,L10,10294,A12,B30,C38,PCS,884,8.3,C,C02,9.912483,7337.2,72729.87
43109,L10,10294,A12,B30,C38,PCS,316,8.3,C,C02,9.912483,2622.8,25998.46
43109,L10,10294,A12,B30,C38,PCS,886,8.3,C,C02,9.912483,7353.8,72894.42
43109,L10,10294,A12,B30,C38,PCS,652,8.3,C,C02,9.912483,5411.6,53642.39
43109,L10,10294,A12,B30,C38,PCS,519,8.3,C,C02,9.912483,4307.7,42700
43109,L10,10294,A12,B30,C38,PCS,318,8.3,C,C02,9.912483,2639.4,26163.01
43109,L10,10294,A12,B30,C38,PCS,603,8.3,C,C02,9.912483,5004.9,49610.99
43109,L10,10294,A12,B30,C38,PCS,752,8.3,C,C02,9.912483,6241.6,61869.75
43109,L10,10294,A12,B30,C38,PCS,335,8.3,C,C02,9.912483,2780.5,27561.66
43121,L10,10340,A17,B22,C38,PCS,984,7.03,D,C07,1.358577,6917.52,9397.98
43121,L10,10340,A17,B22,C38,PCS,622,7.03,D,C07,1.358577,4372.66,5940.6
43121,L10,10340,A17,B22,C38,PCS,231,7.03,D,C07,1.358577,1623.93,2206.23
43121,L10,10340,A17,B22,C38,PCS,949,7.03,D,C07,1.358577,6671.47,9063.71
43121,L10,10340,A17,B22,C38,PCS,885,7.03,D,C07,1.358577,6221.55,8452.45
43121,L10,10340,A17,B22,C38,PCS,147,7.03,D,C07,1.358577,1033.41,1403.97
43121,L10,10340,A17,B22,C38,PCS,516,7.03,D,C07,1.358577,3627.48,4928.21
43121,L10,10340,A17,B22,C38,PCS,523,7.03,D,C07,1.358577,3676.69,4995.07
43121,L10,10340,A17,B22,C38,PCS,404,7.03,D,C07,1.358577,2840.12,3858.52
43121,L10,10340,A17,B22,C38,PCS,675,7.03,D,C07,1.358577,4745.25,6446.79
43115,L10,10357,A16,B23,C38,PCS,632,1.29,D,C06,3.547054,815.28,2891.84
43115,L10,10357,A16,B23,C38,PCS,631,1.29,D,C06,3.547054,813.99,2887.27
43115,L10,10357,A16,B23,C38,PCS,358,1.29,D,C06,3.547054,461.82,1638.1
43115,L10,10357,A16,B23,C38,PCS,116,1.29,D,C06,3.547054,149.64,530.78
43115,L10,10357,A16,B23,C38,PCS,343,1.29,D,C06,3.547054,442.47,1569.46
43115,L10,10357,A16,B23,C38,PCS,264,1.29,D,C06,3.547054,340.56,1207.98
43115,L10,10357,A16,B23,C38,PCS,99,1.29,D,C06,3.547054,127.71,452.99
43115,L10,10357,A16,B23,C38,PCS,992,1.29,D,C06,3.547054,1279.68,4539.09
43115,L10,10357,A16,B23,C38,PCS,696,1.29,D,C06,3.547054,897.84,3184.69
43115,L10,10357,A16,B23,C38,PCS,41,1.29,D,C06,3.547054,52.89,187.6
43115,L10,10408,A18,B23,C37,PCS,860,1.29,D,C06,3.547054,1109.4,3935.1
43115,L10,10408,A18,B23,C37,PCS,675,1.29,D,C06,3.547054,870.75,3088.6
43115,L10,10408,A18,B23,C37,PCS,199,1.29,D,C06,3.547054,256.71,910.56
43115,L10,10408,A18,B23,C37,PCS,418,1.29,D,C06,3.547054,539.22,1912.64
43115,L10,10408,A18,B23,C37,PCS,981,1.29,D,C06,3.547054,1265.49,4488.76
43115,L10,10408,A18,B23,C37,PCS,937,1.29,D,C06,3.547054,1208.73,4287.43
43115,L10,10408,A18,B23,C37,PCS,246,1.29,D,C06,3.547054,317.34,1125.62
43115,L10,10408,A18,B23,C37,PCS,363,1.29,D,C06,3.547054,468.27,1660.98
43115,L10,10408,A18,B23,C37,PCS,423,1.29,D,C06,3.547054,545.67,1935.52
43115,L10,10408,A18,B23,C37,PCS,916,1.29,D,C06,3.547054,1181.64,4191.34
43105,L10,10690,A13,B30,C37,PCS,741,8.45,D,C02,9.912483,6261.45,62066.52
43105,L10,10690,A13,B30,C37,PCS,825,8.45,D,C02,9.912483,6971.25,69102.4
43105,L10,10690,A13,B30,C37,PCS,493,8.45,D,C02,9.912483,4165.85,41293.92
