Ledger,Account,PartNo,Contact,Project,Unit Code,D/C,Currency
L24,10128,A16,C37,B29,PCS,C,C06
L58,15554,A18,C40,B20,PCS,D,C09
L59,19954,A13,C37,B22,PCS,D,C04
L62,19562,A14,C38,B21,PCS,D,C10
L95,18831,A18,C36,B25,PCS,C,C06
L38,19680,A16,C40,B23,PCS,C,C06
L53,16536,A16,C36,B20,PCS,C,C05
L61,17756,A14,C38,B21,PCS,C,C03
L69,17675,A17,C33,B22,PCS,C,C09
L76,11915,A19,C36,B27,PCS,C,C10
L77,15419,A12,C39,B20,PCS,D,C03
L87,17730,A20,C36,B29,PCS,D,C05
L25,19671,A11,C31,B22,PCS,C,C03
L41,17822,A16,C35,B21,PCS,D,C05
L56,13818,A10,C35,B28,PCS,C,C06
L64,19940,A20,C32,B24,PCS,D,C04
L65,19870,A18,C37,B25,PCS,C,C04
L69,12835,A18,C38,B30,PCS,D,C04
L84,13003,A19,C38,B28,PCS,C,C10
L86,19753,A11,C33,B24,PCS,C,C02
L90,19530,A10,C34,B27,PCS,D,C10
L19,17703,A16,C39,B27,PCS,D,C01
L24,10877,A18,C36,B22,PCS,D,C02
L49,16949,A17,C33,B22,PCS,C,C06
L49,11002,A10,C34,B20,PCS,D,C10
L72,18577,A10,C38,B24,PCS,C,C03
L82,12288,A13,C36,B26,PCS,C,C08
L96,19516,A20,C38,B29,PCS,D,C09
L98,14005,A20,C36,B23,PCS,D,C10
L36,16714,A17,C38,B23,PCS,C,C05
L37,12427,A18,C36,B21,PCS,D,C03
L54,11618,A15,C35,B23,PCS,D,C09
L56,10952,A11,C35,B26,PCS,D,C10
L61,15423,A20,C30,B26,PCS,C,C01
L70,18985,A12,C39,B26,PCS,D,C10
L78,11177,A16,C30,B29,PCS,D,C08
L86,19695,A19,C30,B29,PCS,D,C02
L88,10123,A19,C33,B27,PCS,D,C08
L99,15869,A13,C37,B21,PCS,D,C03
L16,10702,A11,C37,B25,PCS,D,C09
L17,12420,A20,C35,B28,PCS,D,C10
L35,10548,A16,C38,B29,PCS,C,C03
L44,17952,A15,C34,B27,PCS,C,C10
L45,12153,A14,C36,B30,PCS,D,C10
L78,19666,A14,C37,B22,PCS,C,C03
L91,18445,A14,C34,B29,PCS,C,C02
L10,18357,A15,C32,B25,PCS,C,C06
L16,13101,A14,C33,B22,PCS,D,C09
L35,11485,A18,C31,B28,PCS,C,C10
L38,19954,A13,C40,B25,PCS,D,C03
L50,19651,A15,C40,B27,PCS,D,C05
L57,19181,A18,C33,B26,PCS,D,C01
L59,17569,A17,C33,B28,PCS,D,C09
L59,19090,A20,C38,B21,PCS,D,C04
L75,10957,A16,C40,B24,PCS,D,C04
L78,10606,A13,C35,B20,PCS,C,C08
L80,18640,A19,C38,B26,PCS,C,C03
L10,15938,A18,C30,B30,PCS,C,C01
L36,17717,A16,C33,B21,PCS,C,C09
L37,11943,A19,C40,B20,PCS,C,C03
L48,19606,A15,C30,B27,PCS,C,C06
L51,10374,A11,C38,B23,PCS,C,C10
L53,11607,A15,C30,B27,PCS,C,C10
L56,17344,A12,C37,B22,PCS,C,C01
L59,15737,A13,C33,B27,PCS,D,C09
L63,10757,A16,C38,B29,PCS,C,C04
L74,15810,A10,C35,B21,PCS,C,C09
L79,19439,A14,C37,B21,PCS,C,C08
L95,13176,A15,C35,B24,PCS,D,C02
L15,11577,A18,C34,B22,PCS,C,C10
L18,17965,A19,C36,B22,PCS,C,C04
L26,11762,A14,C38,B28,PCS,C,C01
L29,17473,A13,C40,B25,PCS,C,C01
L30,13824,A17,C32,B21,PCS,D,C07
L49,12141,A19,C38,B28,PCS,C,C07
