Ledger,Date,Account,Bank,Version,Original Amount,Country,Exchange Rate,Base Amount
L01,42529,Sales,BOC,Actual,35978,JPY,0.07,20147.68
L01,42452,Purchases,BOC,Actual,5745,PHP,0.17,-976.65
L01,42647,Finance Cost,HSBC,Actual,32344,TWD,0.25,-8086
L01,42443,Administrative Expenses,CitiBank,Actual,23630,JPY,0.07,-1654.1
L01,42691,Administrative Expenses,HSBC,Actual,49554,MYR,1.97,-97621.38
L01,42709,Purchases,BOC,Actual,32456,INR,0.12,-3894.72
L01,42699,Rental Income,BOC,Actual,6692,SGD,5.74,192060.4
L01,42590,Administrative Expenses,HSBC,Actual,42707,INR,0.12,-5124.84
L01,42449,Sales,CitiBank,Actual,4362,LKR,0.06,2093.76
L01,42684,Sales,HSBC,Actual,27564,TWD,0.25,55128
L01,42614,Finance Cost,BOC,Actual,27661,THB,0.23,-6362.03
L01,42595,Management Fee,HSBC,Actual,7932,JPY,0.07,-555.24
L01,42558,Rental Income,BOC,Actual,3055,JPY,0.07,1069.25
L01,42697,Rental Income,HSBC,Actual,44806,TWD,0.25,56007.5
L01,42437,Management Fee,HSBC,Actual,29448,SGD,5.74,-169031.52
L01,42686,Management Fee,BOC,Actual,7664,CNY,1.19,-9120.16
L01,42540,Management Fee,CitiBank,Actual,41621,THB,0.23,-9572.83
L01,42475,Payroll,BOC,Actual,23601,PHP,0.17,-4012.17
L01,42517,Payroll,HSBC,Actual,25137,SGD,5.74,-144286.38
L01,42611,Management Fee,CitiBank,Actual,26221,MYR,1.97,-51655.37
L01,42444,Rental Income,BOC,Actual,24568,INR,0.12,14740.8
L01,42525,Finance Cost,HSBC,Actual,35391,CNY,1.19,-42115.29
L01,42566,Purchases,BOC,Actual,4648,JPY,0.07,-325.36
L01,42408,Finance Cost,BOC,Actual,35556,TWD,0.25,-8889
L01,42553,Administrative Expenses,HSBC,Actual,12630,JPY,0.07,-884.1
L01,42647,Sales,HSBC,Actual,38314,THB,0.23,70497.76
L01,42391,Purchases,HSBC,Actual,27713,THB,0.23,-6373.99
L01,42579,Management Fee,HSBC,Actual,29890,PHP,0.17,-5081.3
L01,42688,Rental Income,CitiBank,Actual,4883,TWD,0.25,6103.75
L01,42691,Administrative Expenses,BOC,Actual,12505,SGD,5.74,-71778.7
L01,42506,Sales,HSBC,Actual,38552,CNY,1.19,367015.04
L01,42616,Administrative Expenses,HSBC,Actual,8851,THB,0.23,-2035.73
L01,42697,Sales,HSBC,Actual,9328,CNY,1.19,88802.56
L01,42620,Management Fee,HSBC,Actual,14341,CNY,1.19,-17065.79
L01,42382,Management Fee,CitiBank,Actual,40315,TWD,0.25,-10078.75
L01,42715,Administrative Expenses,CitiBank,Actual,27406,CNY,1.19,-32613.14
L01,42608,Management Fee,HSBC,Actual,24920,MYR,1.97,-49092.4
L01,42433,Administrative Expenses,HSBC,Actual,38314,JPY,0.07,-2681.98
L01,42371,Sales,BOC,Actual,13502,THB,0.23,24843.68
L01,42508,Payroll,BOC,Actual,47432,CNY,1.19,-56444.08
L01,42729,Finance Cost,CitiBank,Actual,40302,CNY,1.19,-47959.38
L01,42557,Sales,HSBC,Actual,10161,TWD,0.25,20322
L01,42572,Management Fee,CitiBank,Actual,9949,SGD,5.74,-57107.26
L01,42668,Purchases,CitiBank,Actual,36629,HKD,1,-36629
L01,42613,Purchases,CitiBank,Actual,31414,SGD,5.74,-180316.36
L01,42586,Purchases,BOC,Actual,32823,JPY,0.07,-2297.61
L01,42629,Rental Income,HSBC,Actual,38326,LKR,0.06,11497.8
L01,42484,Rental Income,HSBC,Actual,14794,CNY,1.19,88024.3
L01,42374,Purchases,BOC,Actual,31472,SGD,5.74,-180649.28
L01,42379,Administrative Expenses,HSBC,Actual,25835,INR,0.12,-3100.2
L01,42519,Finance Cost,CitiBank,Actual,27661,INR,0.12,-3319.32
L01,42524,Management Fee,HSBC,Actual,13038,JPY,0.07,-912.66
L01,42622,Sales,BOC,Actual,49263,THB,0.23,90643.92
L01,42712,Sales,HSBC,Actual,39867,INR,0.12,38272.32
L01,42705,Rental Income,CitiBank,Actual,24008,LKR,0.06,7202.4
L01,42407,Sales,HSBC,Actual,24818,THB,0.23,45665.12
L01,42650,Administrative Expenses,HSBC,Actual,26563,THB,0.23,-6109.49
L01,42418,Payroll,HSBC,Actual,35825,TWD,0.25,-8956.25
L01,42615,Administrative Expenses,BOC,Actual,13330,THB,0.23,-3065.9
L01,42544,Administrative Expenses,CitiBank,Actual,14096,SGD,5.74,-80911.04
L01,42673,Payroll,BOC,Actual,13258,MYR,1.97,-26118.26
L01,42594,Rental Income,CitiBank,Actual,31266,SGD,5.74,897334.2
L01,42668,Management Fee,CitiBank,Actual,37991,MYR,1.97,-74842.27
L01,42519,Sales,BOC,Actual,44164,TWD,0.25,88328
L01,42725,Purchases,BOC,Actual,15876,INR,0.12,-1905.12
L01,42621,Rental Income,BOC,Actual,44122,PHP,0.17,37503.7
L01,42379,Rental Income,HSBC,Actual,43547,INR,0.12,26128.2
L01,42581,Sales,BOC,Actual,1974,LKR,0.06,947.52
L01,42382,Rental Income,CitiBank,Actual,44583,HKD,1,222915
L01,42725,Administrative Expenses,HSBC,Actual,5570,TWD,0.25,-1392.5
L01,42499,Finance Cost,BOC,Actual,24568,LKR,0.06,-1474.08
L01,42634,Administrative Expenses,HSBC,Actual,33730,THB,0.23,-7757.9
L01,42585,Purchases,BOC,Actual,17976,PHP,0.17,-3055.92
L01,42733,Sales,CitiBank,Actual,39634,JPY,0.07,22195.04
L01,42525,Payroll,CitiBank,Actual,4398,MYR,1.97,-8664.06
L01,42415,Purchases,BOC,Actual,1191,INR,0.12,-142.92
L01,42598,Administrative Expenses,BOC,Actual,44771,JPY,0.07,-3133.97
L01,42712,Sales,CitiBank,Actual,44774,SGD,5.74,2056022.08
L01,42385,Management Fee,CitiBank,Actual,12489,PHP,0.17,-2123.13
L01,42590,Payroll,HSBC,Actual,27255,HKD,1,-27255
L01,42605,Finance Cost,CitiBank,Actual,43352,CNY,1.19,-51588.88
L01,42612,Management Fee,BOC,Actual,28047,PHP,0.17,-4767.99
L01,42401,Purchases,BOC,Actual,37103,TWD,0.25,-9275.75
L01,42684,Purchases,CitiBank,Actual,38710,MYR,1.97,-76258.7
L01,42383,Purchases,CitiBank,Actual,39443,LKR,0.06,-2366.58
L01,42403,Finance Cost,CitiBank,Actual,39512,PHP,0.17,-6717.04
L01,42409,Administrative Expenses,BOC,Actual,17716,TWD,0.25,-4429
L01,42579,Rental Income,HSBC,Actual,25359,SGD,5.74,727803.3
L01,42645,Sales,HSBC,Actual,20413,HKD,1,163304
L01,42602,Sales,HSBC,Actual,26935,HKD,1,215480
L01,42732,Administrative Expenses,HSBC,Actual,29402,TWD,0.25,-7350.5
L01,42418,Finance Cost,HSBC,Actual,43955,INR,0.12,-5274.6
L01,42371,Sales,BOC,Actual,22947,TWD,0.25,45894
L01,42707,Administrative Expenses,BOC,Actual,21272,CNY,1.19,-25313.68
L01,42694,Management Fee,BOC,Actual,18366,SGD,5.74,-105420.84
L01,42717,Purchases,CitiBank,Actual,21245,MYR,1.97,-41852.65
L01,42667,Management Fee,BOC,Actual,44164,MYR,1.97,-87003.08
L01,42375,Purchases,BOC,Actual,24022,SGD,5.74,-137886.28
L01,42477,Management Fee,BOC,Actual,4314,HKD,1,-4314
L01,42696,Administrative Expenses,CitiBank,Actual,6474,INR,0.12,-776.88
L01,42454,Management Fee,BOC,Actual,30734,THB,0.23,-7068.82
L01,42572,Administrative Expenses,BOC,Actual,14630,THB,0.23,-3364.9
L01,42682,Sales,HSBC,Actual,17716,THB,0.23,32597.44
L01,42471,Purchases,BOC,Actual,49421,JPY,0.07,-3459.47
L01,42611,Management Fee,BOC,Actual,7066,INR,0.12,-847.92
L01,42487,Rental Income,BOC,Actual,29207,MYR,1.97,287688.95
L01,42425,Sales,HSBC,Actual,10395,SGD,5.74,477338.4
L01,42701,Purchases,CitiBank,Actual,41193,CNY,1.19,-49019.67
L01,42612,Purchases,HSBC,Actual,29758,JPY,0.07,-2083.06
L01,42633,Management Fee,BOC,Actual,37002,MYR,1.97,-72893.94
L01,42542,Sales,CitiBank,Actual,2076,JPY,0.07,1162.56
L01,42691,Finance Cost,HSBC,Actual,47405,LKR,0.06,-2844.3
L01,42487,Sales,BOC,Actual,25352,CNY,1.19,241351.04
L01,42592,Sales,CitiBank,Actual,7864,HKD,1,62912
L01,42408,Sales,BOC,Actual,39777,THB,0.23,73189.68
L01,42546,Finance Cost,BOC,Actual,4858,PHP,0.17,-825.86
L01,42597,Rental Income,BOC,Actual,40626,LKR,0.06,12187.8
L01,42676,Management Fee,HSBC,Actual,15258,CNY,1.19,-18157.02
L01,42379,Administrative Expenses,HSBC,Actual,9772,LKR,0.06,-586.32
L01,42593,Purchases,BOC,Actual,1146,SGD,5.74,-6578.04
L01,42566,Administrative Expenses,HSBC,Actual,25931,JPY,0.07,-1815.17
L01,42645,Administrative Expenses,CitiBank,Actual,30219,MYR,1.97,-59531.43
L01,42421,Payroll,CitiBank,Actual,29527,JPY,0.07,-2066.89
L01,42724,Finance Cost,CitiBank,Actual,22949,CNY,1.19,-27309.31
L01,42608,Finance Cost,BOC,Actual,19311,THB,0.23,-4441.53
L01,42387,Finance Cost,BOC,Actual,12154,LKR,0.06,-729.24
L01,42709,Purchases,HSBC,Actual,25298,THB,0.23,-5818.54
L01,42528,Rental Income,BOC,Actual,31734,INR,0.12,19040.4
L01,42681,Administrative Expenses,HSBC,Actual,18604,CNY,1.19,-22138.76
L01,42658,Administrative Expenses,BOC,Actual,13364,INR,0.12,-1603.68
L01,42434,Sales,CitiBank,Actual,12498,LKR,0.06,5999.04
L01,42491,Finance Cost,HSBC,Actual,24747,SGD,5.74,-142047.78
L01,42373,Administrative Expenses,CitiBank,Actual,2488,HKD,1,-2488
L01,42508,Management Fee,CitiBank,Actual,17303,HKD,1,-17303
L01,42581,Sales,CitiBank,Actual,18164,TWD,0.25,36328
L01,42613,Administrative Expenses,BOC,Actual,24414,LKR,0.06,-1464.84
L01,42650,Management Fee,CitiBank,Actual,47405,JPY,0.07,-3318.35
L01,42510,Purchases,HSBC,Actual,33201,LKR,0.06,-1992.06
L01,42407,Finance Cost,HSBC,Actual,24703,INR,0.12,-2964.36
L01,42610,Payroll,BOC,Actual,3913,JPY,0.07,-273.91
L01,42705,Finance Cost,CitiBank,Actual,16708,SGD,5.74,-95903.92
L01,42633,Rental Income,BOC,Actual,24970,THB,0.23,28715.5
L01,42574,Administrative Expenses,HSBC,Actual,18164,LKR,0.06,-1089.84
L01,42636,Sales,BOC,Actual,17706,PHP,0.17,24080.16
L01,42709,Rental Income,HSBC,Actual,9328,INR,0.12,5596.8
L01,42485,Payroll,CitiBank,Actual,35022,CNY,1.19,-41676.18
L01,42665,Rental Income,HSBC,Actual,34609,PHP,0.17,29417.65
L01,42433,Sales,CitiBank,Actual,45815,LKR,0.06,21991.2
L01,42585,Payroll,BOC,Actual,47648,INR,0.12,-5717.76
L01,42611,Rental Income,CitiBank,Actual,24747,JPY,0.07,8661.45
L01,42674,Finance Cost,BOC,Actual,27958,JPY,0.07,-1957.06
L01,42550,Purchases,BOC,Actual,40613,SGD,5.74,-233118.62
L01,42483,Administrative Expenses,HSBC,Actual,45996,HKD,1,-45996
L01,42722,Finance Cost,HSBC,Actual,48642,TWD,0.25,-12160.5
L01,42475,Finance Cost,HSBC,Actual,30947,INR,0.12,-3713.64
L01,42543,Finance Cost,CitiBank,Actual,19896,MYR,1.97,-39195.12
L01,42542,Purchases,HSBC,Actual,24882,SGD,5.74,-142822.68
L01,42530,Sales,HSBC,Actual,11842,MYR,1.97,186629.92
L01,42549,Purchases,CitiBank,Actual,40302,HKD,1,-40302
L01,42614,Payroll,BOC,Actual,38572,THB,0.23,-8871.56
L01,42644,Finance Cost,BOC,Actual,32795,SGD,5.74,-188243.3
L01,42377,Sales,CitiBank,Actual,19774,CNY,1.19,188248.48
L01,42695,Rental Income,CitiBank,Actual,16639,THB,0.23,19134.85
L01,42722,Management Fee,BOC,Actual,26221,CNY,1.19,-31202.99
L01,42532,Management Fee,BOC,Actual,39917,LKR,0.06,-2395.02
L01,42375,Rental Income,CitiBank,Actual,28491,TWD,0.25,35613.75
L01,42427,Administrative Expenses,CitiBank,Actual,18388,SGD,5.74,-105547.12
L01,42474,Finance Cost,BOC,Actual,34035,SGD,5.74,-195360.9
L01,42415,Sales,CitiBank,Actual,20119,LKR,0.06,9657.12
L01,42559,Rental Income,CitiBank,Actual,28047,SGD,5.74,804948.9
L01,42646,Payroll,BOC,Actual,45287,PHP,0.17,-7698.79
L01,42590,Purchases,BOC,Actual,10408,LKR,0.06,-624.48
L01,42409,Management Fee,CitiBank,Actual,11814,CNY,1.19,-14058.66
L01,42412,Finance Cost,BOC,Actual,18366,TWD,0.25,-4591.5
L01,42521,Purchases,HSBC,Actual,8459,INR,0.12,-1015.08
L01,42525,Management Fee,CitiBank,Actual,23404,INR,0.12,-2808.48
L01,42611,Management Fee,CitiBank,Actual,44411,HKD,1,-44411
L01,42416,Purchases,HSBC,Actual,48669,INR,0.12,-5840.28
L01,42566,Purchases,BOC,Actual,29086,CNY,1.19,-34612.34
L01,42629,Sales,CitiBank,Actual,38595,THB,0.23,71014.8
L01,42686,Payroll,CitiBank,Actual,14915,LKR,0.06,-894.9
L01,42577,Purchases,BOC,Actual,23404,INR,0.12,-2808.48
L01,42686,Sales,HSBC,Actual,11163,INR,0.12,10716.48
L01,42677,Finance Cost,HSBC,Actual,47176,TWD,0.25,-11794
L01,42671,Purchases,CitiBank,Actual,38572,TWD,0.25,-9643
L01,42710,Management Fee,BOC,Actual,39559,PHP,0.17,-6725.03
L01,42627,Purchases,CitiBank,Actual,38160,PHP,0.17,-6487.2
L01,42449,Finance Cost,HSBC,Actual,16816,MYR,1.97,-33127.52
L01,42495,Payroll,CitiBank,Actual,6233,INR,0.12,-747.96
L01,42632,Administrative Expenses,HSBC,Actual,46263,INR,0.12,-5551.56
L01,42672,Management Fee,HSBC,Actual,8546,PHP,0.17,-1452.82
L01,42718,Payroll,HSBC,Actual,30130,THB,0.23,-6929.9
L01,42655,Purchases,HSBC,Actual,34768,LKR,0.06,-2086.08
L01,42572,Payroll,BOC,Actual,34728,LKR,0.06,-2083.68
L01,42464,Administrative Expenses,CitiBank,Actual,22276,LKR,0.06,-1336.56
L01,42504,Purchases,CitiBank,Actual,6472,TWD,0.25,-1618
L01,42544,Rental Income,HSBC,Actual,2877,SGD,5.74,82569.9
L01,42485,Purchases,BOC,Actual,11086,JPY,0.07,-776.02
L01,42685,Rental Income,CitiBank,Actual,8089,THB,0.23,9302.35
L01,42424,Sales,HSBC,Actual,22121,MYR,1.97,348626.96
L01,42418,Rental Income,BOC,Actual,20820,MYR,1.97,205077
L01,42444,Payroll,BOC,Actual,10005,MYR,1.97,-19709.85
L01,42450,Finance Cost,CitiBank,Actual,31515,JPY,0.07,-2206.05
L01,42584,Payroll,CitiBank,Actual,16708,TWD,0.25,-4177
L01,42479,Finance Cost,HSBC,Actual,40738,CNY,1.19,-48478.22
L01,42615,Purchases,HSBC,Actual,37847,THB,0.23,-8704.81
L01,42579,Purchases,CitiBank,Actual,48968,TWD,0.25,-12242
L01,42448,Payroll,CitiBank,Actual,45852,SGD,5.74,-263190.48
L01,42609,Finance Cost,HSBC,Actual,16022,CNY,1.19,-19066.18
L01,42629,Finance Cost,CitiBank,Actual,42860,SGD,5.74,-246016.4
L01,42396,Sales,CitiBank,Actual,8825,JPY,0.07,4942
L01,42418,Administrative Expenses,CitiBank,Actual,29654,LKR,0.06,-1779.24
L01,42451,Rental Income,HSBC,Actual,46613,CNY,1.19,277347.35
L01,42699,Administrative Expenses,HSBC,Actual,25743,JPY,0.07,-1802.01
L01,42574,Rental Income,BOC,Actual,12498,TWD,0.25,15622.5
L01,42371,Rental Income,CitiBank,Actual,40760,MYR,1.97,401486
L01,42447,Sales,CitiBank,Actual,8997,MYR,1.97,141792.72
L01,42734,Administrative Expenses,BOC,Actual,45815,INR,0.12,-5497.8
L01,42584,Purchases,BOC,Actual,47929,INR,0.12,-5751.48
L01,42418,Payroll,BOC,Actual,16988,CNY,1.19,-20215.72
L01,42409,Purchases,BOC,Actual,32102,SGD,5.74,-184265.48
L01,42621,Rental Income,HSBC,Actual,19931,PHP,0.17,16941.35
L01,42463,Purchases,CitiBank,Actual,28721,MYR,1.97,-56580.37
L01,42673,Payroll,HSBC,Actual,36720,SGD,5.74,-210772.8
L01,42633,Payroll,BOC,Actual,27586,MYR,1.97,-54344.42
L01,42455,Payroll,CitiBank,Actual,34972,PHP,0.17,-5945.24
L01,42529,Payroll,BOC,Actual,25501,JPY,0.07,-1785.07
L01,42372,Payroll,HSBC,Actual,25463,TWD,0.25,-6365.75
L01,42533,Purchases,BOC,Actual,4746,INR,0.12,-569.52
L01,42454,Administrative Expenses,BOC,Actual,24491,INR,0.12,-2938.92
L01,42547,Sales,BOC,Actual,4102,LKR,0.06,1968.96
L01,42708,Sales,HSBC,Actual,22578,CNY,1.19,214942.56
L01,42421,Purchases,CitiBank,Actual,11201,MYR,1.97,-22065.97
L01,42378,Administrative Expenses,HSBC,Actual,8510,SGD,5.74,-48847.4
L01,42595,Management Fee,HSBC,Actual,37690,SGD,5.74,-216340.6
L01,42731,Administrative Expenses,BOC,Actual,34435,TWD,0.25,-8608.75
L01,42469,Administrative Expenses,HSBC,Actual,7046,CNY,1.19,-8384.74
L01,42491,Management Fee,BOC,Actual,28282,JPY,0.07,-1979.74
L01,42383,Finance Cost,BOC,Actual,30329,HKD,1,-30329
L01,42374,Finance Cost,HSBC,Actual,47739,THB,0.23,-10979.97
L01,42695,Rental Income,BOC,Actual,33711,HKD,1,168555
L01,42425,Administrative Expenses,CitiBank,Actual,9112,THB,0.23,-2095.76
L01,42509,Sales,HSBC,Actual,48544,MYR,1.97,765053.44
L01,42695,Sales,BOC,Actual,12656,MYR,1.97,199458.56
L01,42503,Finance Cost,HSBC,Actual,32260,MYR,1.97,-63552.2
L01,42454,Sales,CitiBank,Actual,8215,INR,0.12,7886.4
L01,42486,Rental Income,BOC,Actual,36042,HKD,1,180210
L01,42698,Administrative Expenses,CitiBank,Actual,37827,TWD,0.25,-9456.75
L01,42683,Administrative Expenses,HSBC,Actual,38726,TWD,0.25,-9681.5
L01,42553,Rental Income,HSBC,Actual,27165,PHP,0.17,23090.25
L01,42381,Sales,BOC,Actual,37730,TWD,0.25,75460
L01,42480,Purchases,CitiBank,Actual,17299,JPY,0.07,-1210.93
L01,42654,Rental Income,BOC,Actual,19814,LKR,0.06,5944.2
L01,42432,Administrative Expenses,HSBC,Actual,19179,SGD,5.74,-110087.46
L01,42726,Payroll,HSBC,Actual,22611,MYR,1.97,-44543.67
L01,42702,Sales,CitiBank,Actual,18898,THB,0.23,34772.32
L01,42589,Payroll,HSBC,Actual,17313,PHP,0.17,-2943.21
L01,42505,Purchases,CitiBank,Actual,40641,CNY,1.19,-48362.79
L01,42524,Payroll,CitiBank,Actual,16655,HKD,1,-16655
L01,42691,Sales,HSBC,Actual,42004,TWD,0.25,84008
L01,42454,Finance Cost,CitiBank,Actual,43742,PHP,0.17,-7436.14
L01,42558,Payroll,CitiBank,Actual,47967,THB,0.23,-11032.41
L01,42567,Finance Cost,BOC,Actual,18640,CNY,1.19,-22181.6
L01,42612,Payroll,HSBC,Actual,21912,INR,0.12,-2629.44
L01,42636,Administrative Expenses,CitiBank,Actual,45288,LKR,0.06,-2717.28
L01,42732,Management Fee,BOC,Actual,38034,HKD,1,-38034
L01,42563,Sales,HSBC,Actual,10716,LKR,0.06,5143.68
L01,42567,Administrative Expenses,CitiBank,Actual,11987,TWD,0.25,-2996.75
L01,42473,Management Fee,CitiBank,Actual,41331,INR,0.12,-4959.72
L01,42682,Finance Cost,HSBC,Actual,34369,PHP,0.17,-5842.73
L01,42659,Payroll,HSBC,Actual,16434,HKD,1,-16434
L01,42394,Sales,HSBC,Actual,4079,INR,0.12,3915.84
L01,42478,Rental Income,HSBC,Actual,41098,SGD,5.74,1179512.6
L01,42427,Administrative Expenses,HSBC,Actual,39054,LKR,0.06,-2343.24
L01,42455,Sales,BOC,Actual,26562,INR,0.12,25499.52
L01,42521,Payroll,HSBC,Actual,37317,MYR,1.97,-73514.49
L01,42718,Management Fee,CitiBank,Actual,47546,PHP,0.17,-8082.82
L01,42650,Sales,HSBC,Actual,18845,CNY,1.19,179404.4
L01,42463,Payroll,BOC,Actual,8964,JPY,0.07,-627.48
